date,SVI,SGI
201610,-0.514856495,-0.129610356
201611,-0.279200254,-0.145869642
201612,0.074335419,-0.138349296
201701,0.368559612,-0.145405532
201702,0.416517279,-0.087574908
201703,0.291058834,-0.055431171
201704,0.38398734,-0.097411815
201705,0.3472766,-0.102826478
201706,0.345848981,-0.105743741
201707,0.17768902,-0.109707774
201708,-0.002964644,-0.114770266
201709,-0.111936857,-0.117918693
201710,-0.152778804,-0.12068492
201711,-0.085847944,-0.094997144
201712,-0.43658206,-0.118026229
201801,-0.254983209,-0.12771858
201802,0.040250368,-0.180438367
201803,0.29953985,-0.096313478
201804,0.348100443,-0.085119557
201805,0.277568974,-0.092035325
201806,0.246811317,-0.093445778
201807,0.082663429,-0.102296814
201808,-0.049944109,-0.09923097
201809,-0.247655104,-0.102049706
201810,-0.493348902,-0.108185528
201811,-0.519010097,-0.122538739
201812,-0.384737307,-0.186677503
201901,-0.356927379,-0.18258273
201902,-0.35735171,-0.225197542
201903,-0.29056889,-0.20498159
201904,-0.20500195,-0.228439014
201905,-0.285402723,-0.175654054
201906,-0.370613548,-0.181537355
201907,-0.43021733,-0.192063428
201908,-0.511650501,-0.192849275
201909,-0.664225785,-0.193451495
201910,-0.592271291,-0.19481571
201911,-0.465933117,-0.193157751
201912,-0.163499807,-0.123935913
202001,-0.051386665,-0.072233527
202002,0.08470987,-0.104991962
202003,0.040594178,-0.047347466
202004,-0.070521424,-0.068115192
202005,-0.167365801,-0.064232517
202006,-0.191218348,-0.073567187
202007,-0.237145594,-0.071024748
202008,-0.213199776,-0.071824833
202009,-0.192059965,-0.070814326
202010,-0.153628593,-0.088256214
202011,0.080371798,-0.10224651
202012,0.31456224,-0.078821896
202101,0.413664458,-0.027190284
202102,0.287161649,0.099258625
202103,0.16674973,0.075287989
202104,0.113237561,0.0647545
202105,0.106550666,0.049641595
202106,0.118185655,0.058743924
202107,0.084336301,0.061005994
202108,0.068012808,0.06140724
202109,-0.008416521,0.066401986
202110,-0.033974014,0.049999813
202111,0.093076907,0.049961786
202112,0.168504873,-0.062687825
202201,0.292158342,-0.082396859
202202,0.362816589,-0.022094052
202203,0.540463082,-0.03262334
202204,0.452369423,0.030881149
202205,0.320292545,0.06379886
202206,0.315850121,0.057296749
202207,0.269655658,0.061976122
202208,0.125465252,0.058787089
202209,0.132804711,0.063655083
202210,0.345050387,0.052219685
202211,0.272197506,0.006194644
202212,0.174434901,0.086587853
202301,0.221689525,0.047942939
202302,0.130105354,0.027231742
202303,0.029372378,0.067012785
202304,-0.089994567,0.070444305
202305,-0.079557111,0.075905683
202306,-0.086476242,0.098032644
202307,-0.02935711,0.098986464
202308,-0.123986695,0.098534228
202309,-0.091534542,0.09255788
202310,-0.067140355,0.095315095
202311,-0.157850799,0.067163696
202312,0.099880873,0.050577253
202401,-0.090944942,0.095888621
202402,-0.408177173,0.047887762
202403,-0.136545221,-0.03151732
202404,-0.121547579,-0.045501478
202405,-0.182486413,0.033334736
202406,-0.270982957,0.022185288
202407,-0.357371101,0.029593502
202408,-0.353809194,0.030852537
202409,-0.428239306,0.033107701
202410,-0.340922132,0.022551681
202411,-0.385465502,-0.018951494
202412,0.003190967,7.04E-05
